Zreal	Zimag	Freq
 3.80282061440564E+0001  2.91651216077809E+0001  2.08929613085404E+0000
 4.17993635139984E+0001  2.79888146889524E+0001  1.81970085860999E+0000
 4.52153406763974E+0001  2.64182529599132E+0001  1.58489319246111E+0000
 4.82140386175206E+0001  2.45698366798501E+0001  1.38038426460289E+0000
 5.07748009806019E+0001  2.25600808105287E+0001  1.20226443461741E+0000
 5.29105681655695E+0001  2.04921205018400E+0001  1.04712854805090E+0000
 5.46570794983661E+0001  1.84483763406970E+0001  9.12010839355911E-0001
 5.60623846612277E+0001  1.64886893079061E+0001  7.94328234724282E-0001
 5.71785122540297E+0001  1.46521498820350E+0001  6.91830970918937E-0001
 5.80558339846329E+0001  1.29607811259963E+0001  6.02559586074358E-0001
 5.87398468661583E+0001  1.14236988686715E+0001  5.24807460249773E-0001
 5.92697634090122E+0001  1.00409400355981E+0001  4.57088189614875E-0001
 5.96782795507755E+0001  8.80660445390689E+0000  3.98107170553498E-0001
 5.99920118078972E+0001  7.71124187992769E+0000  3.46736850452532E-0001
 6.02322488787843E+0001  6.74356178060326E+0000  3.01995172040202E-0001
 6.04157964914780E+0001  5.89159713252272E+0000  2.63026799189538E-0001
 6.05557921358381E+0001  5.14345712756818E+0000  2.29086765276777E-0001
 6.06624305166170E+0001  4.48778518278961E+0000  1.99526231496888E-0001
 6.07435790682834E+0001  3.91401382327297E+0000  1.73780082874938E-0001
 6.08052839306505E+0001  3.41248440484411E+0000  1.51356124843621E-0001
 6.08521769398193E+0001  2.97448011486381E+0000  1.31825673855641E-0001
 6.08877980040985E+0001  2.59220571448456E+0000  1.14815362149688E-0001
 6.09148476384722E+0001  2.25873654218371E+0000  1.00000000000000E-0001
