V	A
-0.190332	0.003873
-0.180532	0.003936
-0.170332	0.003999
-0.160332	0.004062
-0.150532	0.004123
-0.140532	0.004182
-0.130532	0.004239
-0.120532	0.004297
-0.110332	0.004353
-0.100332	0.004410
-0.090532	0.004464
-0.080532	0.004514
-0.070532	0.004569
-0.060332	0.004619
-0.050532	0.004673
-0.040332	0.004725
-0.030332	0.004775
-0.020332	0.004823
-0.010532	0.004873
-0.000332	0.004921
0.009668	0.004970
0.019468	0.005017
0.029468	0.005062
0.039468	0.005105
0.049468	0.005153
0.059468	0.005197
0.069468	0.005239
0.079468	0.005284
0.089468	0.005325
0.099268	0.005369
0.109268	0.005407
0.119268	0.005449
0.129468	0.005489
0.139468	0.005526
0.149468	0.005564
0.159268	0.005604
0.169468	0.005637
0.179468	0.005672
0.189668	0.005709
0.199468	0.005744
0.209468	0.005778
0.219268	0.005809
0.229468	0.005839
0.239468	0.005873
0.249468	0.005901
0.259468	0.005935
0.269468	0.005961
0.279468	0.005990
0.289468	0.006016
0.299268	0.006046
0.309468	0.006070
0.319468	0.006098
0.329268	0.006121
0.339468	0.006146
0.349268	0.006170
0.359268	0.006193
0.369268	0.006218
0.379268	0.006238
0.389268	0.006262
0.399268	0.006282
0.409268	0.006303
0.419068	0.006322
0.429068	0.006340
0.439268	0.006362
0.449268	0.006375
0.459068	0.006393
0.469068	0.006412
0.479068	0.006430
0.489268	0.006445
0.499268	0.006462
0.509268	0.006477
0.519268	0.006489
0.529268	0.006504
0.539068	0.006517
0.549068	0.006530
0.559268	0.006540
0.569268	0.006549
0.579068	0.006560
0.589268	0.006569
0.599268	0.006579
0.609068	0.006585
0.619068	0.006592
0.629068	0.006600
0.639068	0.006604
0.649068	0.006610
0.659068	0.006614
0.669068	0.006619
0.679268	0.006622
0.689068	0.006625
0.699068	0.006627
0.709068	0.006627
0.719268	0.006630
0.729068	0.006629
0.739068	0.006629
0.749268	0.006629
0.759068	0.006629
0.769068	0.006630
0.779068	0.006627
0.789068	0.006629
0.798868	0.006629
