2t	C	GO	RGO
74.4	6.64574E-4	0.03681	0.02789
74.6	4.4305E-4	0.03988	0.01594
74.8	6.64574E-4	0.02454	0.0239
75	5.90733E-4	0.03681	0.03586
75.2	4.4305E-4	0.03988	0.04781
75.4	4.7997E-4	0.03374	0.02789
75.6	6.64574E-4	0.0184	0.04382
75.8	7.01495E-4	0.02454	0.01992
76	6.64574E-4	0.05215	0.0239
76.2	6.64574E-4	0.0092	0.03984
76.4	7.38416E-4	0.03067	0.03586
76.6	6.27654E-4	0.02147	0.04382
76.8	6.64574E-4	0.01534	0.03586
77	5.90733E-4	0.00307	0.0239
77.2	6.27654E-4	0.02454	0.03586
77.4	6.64574E-4	0.02761	0.00797
77.6	5.90733E-4	0.03067	0.03187
77.8	5.53812E-4	0.0184	0.03586
78	6.27654E-4	0.03067	0.02789
78.2	5.90733E-4	0.0092	0.03586
78.4	5.90733E-4	0.02761	0.01594
78.6	6.27654E-4	0.03067	0.04781
78.8	5.16891E-4	0.02761	0.0239
79	6.64574E-4	0.03988	0.02789
79.2	5.53812E-4	0.02454	0.03586
79.4	0.00103	0.02454	0.01594
79.6	5.53812E-4	0.0184	0.03187
79.8	4.7997E-4	0.02761	0.03187
80	5.16891E-4	0.00307	0.0239
